Basketball,Running Shoes,Yoga Mat,Tennis Racket,Tennis Balls,Water Bottle,Gym Towel,Foam Roller,Soccer Ball,Shin Guards
0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,1,1,0,0
1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,1,0,0
1,1,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,1,1
0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,1
0,0,1,0,1,0,0,1,0,0
0,1,1,0,0,1,0,1,1,1
0,0,1,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0
0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,1,0,1
0,1,0,1,1,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,1,1
1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,1,0,0
0,0,1,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,1,0
0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,1,1
0,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
1,0,1,1,1,0,0,1,1,1
0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,0,1
0,1,1,1,1,0,0,0,0,0
0,1,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,1
0,0,0,0,1,0,0,0,1,1
0,1,1,1,1,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0
0,1,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0
0,0,0,1,1,1,0,0,1,1
0,0,0,1,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,1
0,0,0,1,1,0,0,0,0,1
1,0,1,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0
0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,0,0
0,0,0,1,1,0,0,1,0,0
0,1,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,0,0
0,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1
1,0,0,1,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1
0,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0
0,1,1,0,1,0,1,1,1,1
0,1,0,0,0,0,0,0,1,1
0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0
0,0,1,1,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,0
0,0,1,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,1
0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1
0,0,0,1,1,1,0,0,0,1
0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1
0,1,1,0,0,0,1,0,0,0
0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0
0,0,1,1,1,0,0,1,1,1
0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,1,1,0,1,1,1,0,0,0
0,0,1,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1
0,0,0,0,1,1,1,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,1,1,1,0,1,1,0,0
0,1,1,0,1,0,1,0,1,1
0,0,1,1,1,1,0,1,0,0
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1,0,0
0,1,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1,1
0,0,0,1,1,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,1,1
0,1,1,0,0,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0
0,0,1,0,1,1,1,1,0,0
0,0,0,0,0,1,0,1,0,1
0,0,1,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0
0,0,0,1,1,1,0,0,0,0
0,0,0,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,1,1
0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,1,1,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1
0,0,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1
0,1,0,1,0,0,0,0,0,0
0,1,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,1,1
0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1
1,1,0,0,0,1,0,0,0,0
0,0,1,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,0,0,0,1,1
0,0,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,1,1
0,0,0,0,0,0,1,1,0,1
1,0,0,0,1,0,0,0,0,0
0,0,1,1,1,1,0,1,0,1
1,0,1,0,0,0,0,1,1,0
0,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,0
0,1,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,1,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1
0,0,0,0,1,1,0,0,0,1
0,1,0,0,0,1,1,0,0,0
0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,1
0,1,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,1,0,1
0,0,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0
