review,sentiment
The atmosphere was not terrible.,1
The atmosphere was not excellent.,0
The atmosphere was not bland.,1
The dessert was not disgusting.,1
The pizza was not horrible.,1
The pasta was terrible.,0
The pizza was not terrible.,1
The wine was not awful.,1
The wine was not excellent.,0
The service was excellent.,1
The staff was not horrible.,1
The pasta was not awful.,1
The staff was not wonderful.,0
The dessert was fantastic.,1
The wine was awful.,0
The pizza was disgusting.,0
The dessert was disgusting.,0
The atmosphere was delicious.,1
The wine was awful.,0
The pasta was not fantastic.,0
The wine was awful.,0
The dessert was not fantastic.,0
The atmosphere was delicious.,1
The dessert was not amazing.,0
The wine was not disgusting.,1
The wine was not delicious.,0
The staff was bland.,0
The pasta was amazing.,1
The atmosphere was not terrible.,1
The atmosphere was bland.,0
The pasta was fantastic.,1
The wine was delicious.,1
The wine was horrible.,0
The wine was terrible.,0
The wine was horrible.,0
The pizza was awful.,0
The atmosphere was disgusting.,0
The atmosphere was fantastic.,1
The service was not delicious.,0
The dessert was not delicious.,0
The service was not disgusting.,1
The service was not bland.,1
The dessert was terrible.,0
The pasta was horrible.,0
The dessert was terrible.,0
The dessert was not wonderful.,0
The dessert was fantastic.,1
The dessert was amazing.,1
The dessert was not delicious.,0
The staff was wonderful.,1
The dessert was awful.,0
The wine was bland.,0
The staff was awful.,0
The pizza was fantastic.,1
The service was bland.,0
The staff was bland.,0
The wine was not fantastic.,0
The wine was not delicious.,0
The dessert was not delicious.,0
The dessert was not awful.,1
The wine was not bland.,1
The staff was not disgusting.,1
The dessert was not disgusting.,1
The pizza was not excellent.,0
The dessert was excellent.,1
The dessert was horrible.,0
The atmosphere was bland.,0
The staff was excellent.,1
The staff was not amazing.,0
The staff was terrible.,0
The pizza was not terrible.,1
The service was delicious.,1
The staff was disgusting.,0
The atmosphere was not disgusting.,1
The staff was terrible.,0
The wine was not excellent.,0
The atmosphere was delicious.,1
The staff was not bland.,1
The pizza was horrible.,0
The service was not fantastic.,0
The wine was not bland.,1
The staff was not delicious.,0
The pizza was not disgusting.,1
The wine was disgusting.,0
The atmosphere was awful.,0
The wine was awful.,0
The wine was not horrible.,1
The wine was excellent.,1
The pizza was awful.,0
The atmosphere was not excellent.,0
The dessert was delicious.,1
The service was fantastic.,1
The service was not wonderful.,0
The pizza was disgusting.,0
The staff was bland.,0
The atmosphere was not fantastic.,0
The staff was horrible.,0
The atmosphere was wonderful.,1
The staff was not terrible.,1
The staff was not horrible.,1
The service was disgusting.,0
The pasta was disgusting.,0
The atmosphere was not awful.,1
The staff was awful.,0
The dessert was not amazing.,0
The wine was excellent.,1
The staff was fantastic.,1
The wine was not terrible.,1
The staff was not amazing.,0
The dessert was bland.,0
The staff was not disgusting.,1
The service was wonderful.,1
The atmosphere was fantastic.,1
The wine was amazing.,1
The service was bland.,0
The pasta was not horrible.,1
The pizza was bland.,0
The pizza was amazing.,1
The staff was not excellent.,0
The staff was not amazing.,0
The pasta was horrible.,0
The pizza was delicious.,1
The pasta was amazing.,1
The service was terrible.,0
The service was not horrible.,1
The atmosphere was terrible.,0
The wine was not excellent.,0
The pasta was not awful.,1
The pasta was not amazing.,0
The dessert was disgusting.,0
The dessert was not disgusting.,1
The staff was terrible.,0
The pizza was not horrible.,1
The service was not bland.,1
The service was not horrible.,1
The wine was excellent.,1
The dessert was awful.,0
The pizza was awful.,0
The pasta was horrible.,0
The pasta was awful.,0
The atmosphere was awful.,0
The staff was fantastic.,1
The atmosphere was not awful.,1
The dessert was wonderful.,1
The pizza was horrible.,0
The wine was not wonderful.,0
The wine was not amazing.,0
The staff was terrible.,0
The wine was not disgusting.,1
The pizza was not awful.,1
The pizza was not wonderful.,0
The pasta was not horrible.,1
The dessert was not excellent.,0
The dessert was awful.,0
The staff was not terrible.,1
The pasta was horrible.,0
The pasta was horrible.,0
The staff was excellent.,1
The staff was disgusting.,0
The pasta was not disgusting.,1
The pizza was not disgusting.,1
The pasta was bland.,0
The staff was not fantastic.,0
The service was delicious.,1
The service was disgusting.,0
The service was awful.,0
The pizza was not excellent.,0
The pizza was not amazing.,0
The pizza was fantastic.,1
The staff was amazing.,1
The staff was not excellent.,0
The wine was not delicious.,0
The wine was excellent.,1
The wine was delicious.,1
The wine was wonderful.,1
The service was not wonderful.,0
The staff was fantastic.,1
The dessert was not wonderful.,0
The service was not delicious.,0
The dessert was bland.,0
The pasta was terrible.,0
The staff was terrible.,0
The wine was wonderful.,1
The staff was terrible.,0
The staff was not delicious.,0
The pasta was amazing.,1
The pasta was excellent.,1
The staff was not terrible.,1
The atmosphere was not amazing.,0
The dessert was not disgusting.,1
The wine was wonderful.,1
The pizza was wonderful.,1
The pasta was horrible.,0
The wine was not amazing.,0
The atmosphere was terrible.,0
The pasta was disgusting.,0
The staff was excellent.,1
The atmosphere was not terrible.,1
The atmosphere was horrible.,0
The dessert was not disgusting.,1
The dessert was not disgusting.,1
The atmosphere was not bland.,1
The dessert was bland.,0
The service was awful.,0
The pizza was not horrible.,1
The pasta was not excellent.,0
The atmosphere was not fantastic.,0
The pizza was awful.,0
The wine was not fantastic.,0
The staff was wonderful.,1
The pasta was excellent.,1
The pasta was not awful.,1
The pasta was not delicious.,0
The dessert was not wonderful.,0
The atmosphere was bland.,0
The staff was not horrible.,1
The pasta was not delicious.,0
The pizza was not bland.,1
The wine was not delicious.,0
The staff was delicious.,1
The atmosphere was wonderful.,1
The pizza was amazing.,1
The atmosphere was bland.,0
The staff was not excellent.,0
The dessert was bland.,0
The wine was not awful.,1
The pizza was bland.,0
The wine was not disgusting.,1
The wine was wonderful.,1
The pizza was disgusting.,0
The service was not wonderful.,0
The atmosphere was bland.,0
The service was wonderful.,1
The dessert was not delicious.,0
The staff was not horrible.,1
The atmosphere was not awful.,1
The dessert was not awful.,1
The service was wonderful.,1
The pasta was not amazing.,0
The pizza was fantastic.,1
The atmosphere was amazing.,1
The pasta was terrible.,0
The pizza was bland.,0
The pizza was amazing.,1
The pizza was excellent.,1
The service was wonderful.,1
The service was not disgusting.,1
The atmosphere was delicious.,1
The wine was bland.,0
The staff was not excellent.,0
The pizza was amazing.,1
The atmosphere was fantastic.,1
The pasta was fantastic.,1
The dessert was not wonderful.,0
The wine was delicious.,1
The pizza was horrible.,0
The dessert was not disgusting.,1
The service was not fantastic.,0
The wine was delicious.,1
The staff was not wonderful.,0
The atmosphere was not awful.,1
The wine was amazing.,1
The wine was wonderful.,1
The pizza was not delicious.,0
The staff was delicious.,1
The dessert was not amazing.,0
The pasta was terrible.,0
The atmosphere was excellent.,1
The atmosphere was not horrible.,1
The pasta was fantastic.,1
The service was not awful.,1
The wine was not amazing.,0
The pizza was bland.,0
The service was excellent.,1
The pasta was terrible.,0
The pizza was not disgusting.,1
The service was bland.,0
The service was excellent.,1
The service was not awful.,1
The pasta was not disgusting.,1
The dessert was not excellent.,0
The pizza was amazing.,1
The service was terrible.,0
The wine was not excellent.,0
The pasta was not excellent.,0
The atmosphere was not excellent.,0
The dessert was delicious.,1
The service was bland.,0
The pizza was not amazing.,0
The service was not wonderful.,0
The wine was amazing.,1
The pasta was not amazing.,0
The service was fantastic.,1
The atmosphere was not bland.,1
The atmosphere was disgusting.,0
The staff was not disgusting.,1
The service was wonderful.,1
The pasta was terrible.,0
The wine was amazing.,1
The wine was not bland.,1
The service was terrible.,0
The pizza was awful.,0
The service was fantastic.,1
The service was terrible.,0
The atmosphere was fantastic.,1
The staff was not awful.,1
The atmosphere was not amazing.,0
The staff was not awful.,1
The service was not disgusting.,1
The pizza was not wonderful.,0
The pizza was fantastic.,1
The pasta was not terrible.,1
The dessert was not wonderful.,0
The staff was not awful.,1
The atmosphere was not wonderful.,0
The dessert was fantastic.,1
The staff was fantastic.,1
The pasta was not fantastic.,0
The pasta was not delicious.,0
The service was not disgusting.,1
The pasta was not bland.,1
The dessert was delicious.,1
The staff was not horrible.,1
The pasta was not disgusting.,1
The atmosphere was bland.,0
The dessert was not horrible.,1
The staff was amazing.,1
The atmosphere was wonderful.,1
The service was not bland.,1
The pizza was terrible.,0
The atmosphere was not amazing.,0
The service was not fantastic.,0
The service was horrible.,0
The staff was wonderful.,1
The atmosphere was not delicious.,0
The pasta was horrible.,0
The pizza was not horrible.,1
The pizza was not awful.,1
The pizza was not fantastic.,0
The dessert was not amazing.,0
The atmosphere was awful.,0
The pizza was not awful.,1
The atmosphere was fantastic.,1
The pizza was terrible.,0
The staff was terrible.,0
The service was not excellent.,0
The pizza was not amazing.,0
The staff was terrible.,0
The atmosphere was excellent.,1
The service was not delicious.,0
The dessert was awful.,0
The atmosphere was awful.,0
The atmosphere was not fantastic.,0
The pizza was awful.,0
The dessert was not horrible.,1
The pizza was bland.,0
The wine was not horrible.,1
The pasta was delicious.,1
The atmosphere was not awful.,1
The service was amazing.,1
The staff was amazing.,1
The dessert was disgusting.,0
The pasta was not disgusting.,1
The dessert was excellent.,1
The atmosphere was terrible.,0
The wine was not excellent.,0
The staff was not disgusting.,1
The atmosphere was wonderful.,1
The pizza was not terrible.,1
The service was not fantastic.,0
The pasta was fantastic.,1
The pasta was not excellent.,0
The dessert was wonderful.,1
The wine was not delicious.,0
The atmosphere was not delicious.,0
The pizza was not excellent.,0
The wine was terrible.,0
The service was awful.,0
The pasta was not amazing.,0
The service was not bland.,1
The atmosphere was fantastic.,1
The wine was horrible.,0
The atmosphere was awful.,0
The wine was not bland.,1
The wine was excellent.,1
The pizza was not terrible.,1
The dessert was delicious.,1
The pasta was horrible.,0
The atmosphere was delicious.,1
The pizza was delicious.,1
The wine was awful.,0
The wine was not fantastic.,0
The dessert was not bland.,1
The staff was not disgusting.,1
The wine was excellent.,1
The dessert was not disgusting.,1
The dessert was terrible.,0
The pizza was awful.,0
The wine was not delicious.,0
The wine was terrible.,0
The service was amazing.,1
The wine was not amazing.,0
The atmosphere was not bland.,1
The pizza was terrible.,0
The service was disgusting.,0
The dessert was not wonderful.,0
The service was not terrible.,1
The service was delicious.,1
The dessert was not wonderful.,0
The dessert was not horrible.,1
The wine was delicious.,1
The pasta was not delicious.,0
The service was wonderful.,1
The pizza was not fantastic.,0
The pasta was not delicious.,0
The dessert was not terrible.,1
The pizza was not bland.,1
The service was not amazing.,0
The pasta was fantastic.,1
The staff was bland.,0
The service was not disgusting.,1
The pasta was terrible.,0
The dessert was awful.,0
The wine was delicious.,1
The wine was not awful.,1
The dessert was not disgusting.,1
The pasta was bland.,0
The service was wonderful.,1
The wine was not terrible.,1
The atmosphere was not disgusting.,1
The atmosphere was not delicious.,0
The pasta was horrible.,0
The wine was fantastic.,1
The atmosphere was not disgusting.,1
The pizza was not horrible.,1
The dessert was awful.,0
The dessert was not delicious.,0
The staff was terrible.,0
The dessert was horrible.,0
The pizza was amazing.,1
The pizza was not delicious.,0
The staff was fantastic.,1
The atmosphere was not excellent.,0
The staff was amazing.,1
The dessert was disgusting.,0
The pasta was not amazing.,0
The pizza was not terrible.,1
The service was not delicious.,0
The dessert was bland.,0
The pasta was disgusting.,0
The service was not bland.,1
The atmosphere was delicious.,1
The wine was excellent.,1
The pasta was not awful.,1
The atmosphere was not amazing.,0
The pasta was disgusting.,0
The pizza was not disgusting.,1
The dessert was fantastic.,1
The pizza was bland.,0
The dessert was fantastic.,1
The atmosphere was delicious.,1
The atmosphere was awful.,0
The dessert was not bland.,1
The atmosphere was not terrible.,1
The atmosphere was not disgusting.,1
The service was bland.,0
The pizza was not excellent.,0
The pizza was bland.,0
The wine was not wonderful.,0
The atmosphere was terrible.,0
The atmosphere was wonderful.,1
The atmosphere was awful.,0
The staff was not fantastic.,0
The wine was not horrible.,1
The pasta was excellent.,1
The wine was disgusting.,0
The wine was not fantastic.,0
The atmosphere was not horrible.,1
The service was not excellent.,0
The staff was not amazing.,0
The service was not amazing.,0
The pizza was not bland.,1
The atmosphere was not fantastic.,0
The dessert was awful.,0
The pasta was fantastic.,1
The service was not disgusting.,1
The wine was fantastic.,1
The staff was terrible.,0
The pasta was delicious.,1
The pasta was amazing.,1
The atmosphere was not fantastic.,0
The service was not bland.,1
The wine was amazing.,1
The pasta was not amazing.,0
The pizza was disgusting.,0
The service was excellent.,1
The atmosphere was horrible.,0
The atmosphere was delicious.,1
The atmosphere was disgusting.,0
The pasta was not horrible.,1
The atmosphere was not amazing.,0
The atmosphere was wonderful.,1
The wine was not fantastic.,0
The wine was excellent.,1
The atmosphere was not fantastic.,0
The pasta was not horrible.,1
The wine was not excellent.,0
The dessert was awful.,0
The atmosphere was not terrible.,1
The wine was amazing.,1
The staff was not amazing.,0
The service was delicious.,1
The dessert was delicious.,1
The wine was not amazing.,0
The wine was bland.,0
The pasta was terrible.,0
The pasta was not fantastic.,0
The dessert was terrible.,0
The pasta was not bland.,1
The wine was not bland.,1
The pizza was awful.,0
The atmosphere was awful.,0
The pasta was not excellent.,0
The staff was wonderful.,1
The dessert was bland.,0
The pasta was horrible.,0
The atmosphere was awful.,0
The service was awful.,0
The wine was wonderful.,1
The dessert was not terrible.,1
The staff was horrible.,0
The atmosphere was not bland.,1
The staff was terrible.,0
The pizza was not excellent.,0
The atmosphere was fantastic.,1
The atmosphere was not awful.,1
The dessert was not wonderful.,0
The atmosphere was not terrible.,1
The atmosphere was bland.,0
The wine was bland.,0
The pizza was not fantastic.,0
The wine was not amazing.,0
The dessert was not fantastic.,0
The atmosphere was fantastic.,1
The atmosphere was not awful.,1
The staff was not delicious.,0
The atmosphere was excellent.,1
The service was not wonderful.,0
The service was fantastic.,1
The pasta was fantastic.,1
The wine was awful.,0
The atmosphere was not terrible.,1
The pasta was disgusting.,0
The service was disgusting.,0
The pizza was wonderful.,1
The dessert was awful.,0
The wine was not wonderful.,0
The pizza was bland.,0
The dessert was not terrible.,1
The atmosphere was amazing.,1
The service was not bland.,1
The staff was not terrible.,1
The dessert was awful.,0
The pasta was not wonderful.,0
The staff was not bland.,1
The pizza was bland.,0
The dessert was not wonderful.,0
The staff was not amazing.,0
The pizza was horrible.,0
The atmosphere was not fantastic.,0
The dessert was excellent.,1
The staff was not terrible.,1
The wine was excellent.,1
The pasta was not delicious.,0
The dessert was delicious.,1
The service was not excellent.,0
The service was terrible.,0
The staff was not amazing.,0
The staff was not delicious.,0
The service was fantastic.,1
The atmosphere was not wonderful.,0
The atmosphere was not horrible.,1
The service was not horrible.,1
The atmosphere was fantastic.,1
The service was excellent.,1
The pasta was wonderful.,1
The service was not delicious.,0
The wine was fantastic.,1
The staff was wonderful.,1
The atmosphere was not wonderful.,0
The pizza was terrible.,0
The staff was not fantastic.,0
The dessert was delicious.,1
The service was delicious.,1
The atmosphere was wonderful.,1
The staff was not wonderful.,0
The service was not delicious.,0
The pizza was fantastic.,1
The atmosphere was not bland.,1
The service was bland.,0
The staff was not disgusting.,1
The dessert was not bland.,1
The staff was disgusting.,0
The atmosphere was horrible.,0
The dessert was not terrible.,1
The pasta was not disgusting.,1
The pasta was awful.,0
The pizza was excellent.,1
The service was amazing.,1
The staff was not wonderful.,0
The atmosphere was not terrible.,1
The pasta was excellent.,1
The wine was horrible.,0
The pasta was not terrible.,1
The atmosphere was not bland.,1
The wine was not wonderful.,0
The pizza was not amazing.,0
The pizza was excellent.,1
The service was excellent.,1
The pizza was not wonderful.,0
The pizza was not awful.,1
The service was wonderful.,1
The service was not amazing.,0
The dessert was not terrible.,1
The wine was not bland.,1
The dessert was not awful.,1
The staff was horrible.,0
The dessert was not horrible.,1
The staff was not amazing.,0
The wine was not terrible.,1
The atmosphere was fantastic.,1
The staff was not wonderful.,0
The wine was not excellent.,0
The pizza was not terrible.,1
The service was amazing.,1
The pizza was not wonderful.,0
The pasta was not wonderful.,0
The pasta was disgusting.,0
The pasta was awful.,0
The atmosphere was not excellent.,0
The atmosphere was not fantastic.,0
The wine was horrible.,0
The pizza was amazing.,1
The service was fantastic.,1
The atmosphere was not disgusting.,1
The pasta was not terrible.,1
The atmosphere was not excellent.,0
The pasta was not terrible.,1
The dessert was not wonderful.,0
The pizza was excellent.,1
The pasta was not terrible.,1
The staff was not fantastic.,0
The pizza was terrible.,0
The staff was disgusting.,0
The wine was delicious.,1
The atmosphere was not awful.,1
The staff was not delicious.,0
The pizza was not bland.,1
The atmosphere was awful.,0
The pasta was not fantastic.,0
The staff was amazing.,1
The staff was disgusting.,0
The pizza was wonderful.,1
The wine was bland.,0
The wine was wonderful.,1
The pasta was not amazing.,0
The dessert was delicious.,1
The dessert was not delicious.,0
The pasta was not bland.,1
The dessert was not delicious.,0
The dessert was terrible.,0
The service was amazing.,1
The dessert was fantastic.,1
The staff was bland.,0
The pizza was terrible.,0
The pasta was wonderful.,1
The staff was not amazing.,0
The pizza was amazing.,1
The wine was amazing.,1
The wine was awful.,0
The dessert was wonderful.,1
The pasta was not wonderful.,0
The dessert was fantastic.,1
The staff was not excellent.,0
The staff was not awful.,1
The pizza was not amazing.,0
The staff was not amazing.,0
The atmosphere was not awful.,1
The pizza was not bland.,1
The dessert was amazing.,1
The service was not horrible.,1
The atmosphere was not bland.,1
The atmosphere was awful.,0
The pasta was not horrible.,1
The pasta was not amazing.,0
The service was excellent.,1
The wine was not disgusting.,1
The staff was delicious.,1
The atmosphere was wonderful.,1
The staff was horrible.,0
The service was not fantastic.,0
The atmosphere was not terrible.,1
The service was fantastic.,1
The staff was not awful.,1
The pizza was not horrible.,1
The service was not excellent.,0
The atmosphere was fantastic.,1
The pasta was awful.,0
The pasta was not amazing.,0
The wine was excellent.,1
The atmosphere was not horrible.,1
The staff was not amazing.,0
The dessert was wonderful.,1
The atmosphere was horrible.,0
The wine was not disgusting.,1
The dessert was not disgusting.,1
The service was delicious.,1
The staff was not bland.,1
The staff was not amazing.,0
The dessert was amazing.,1
The pizza was not disgusting.,1
The service was not delicious.,0
The staff was wonderful.,1
The service was amazing.,1
The pizza was not disgusting.,1
The service was fantastic.,1
The wine was amazing.,1
The service was not amazing.,0
The service was not excellent.,0
The dessert was not amazing.,0
The pizza was delicious.,1
The atmosphere was not delicious.,0
The pizza was amazing.,1
The service was not awful.,1
The pizza was terrible.,0
The pizza was not amazing.,0
The service was not fantastic.,0
